Messreihe Frequenzsweep Ladestrom Akku: AC ist Effektivwert
Frequenz Start/Stopp: 50/10000 Hz, Sin-Min: 10 mA, Sin-Max: 60 mA

t [s]; U_DC [v]; I_DC [mA]; R_DC [Ohm]; U_AC [v]; I_AC [mA]; R_Diff [Ohm]; C [mAh] 

333;6200;1.509;20.1596;74.835;0.015122;16.4504;0.9192; 5.0
335;6250;1.508;19.9805;75.478;0.015948;16.4773;0.9679; 5.1
338;6300;1.509;20.9473;72.062;0.015182;16.0872;0.9437; 5.1
341;6350;1.511;21.0353;71.813;0.015096;16.0196;0.9424; 5.2
343;6400;1.510;20.8719;72.370;0.015040;16.0834;0.9351; 5.2
346;6450;1.510;20.7264;72.861;0.015142;16.1330;0.9386; 5.2
348;6500;1.510;20.5597;73.423;0.015406;16.1775;0.9523; 5.3
351;6550;1.510;20.3794;74.078;0.015820;16.2343;0.9745; 5.3
354;6600;1.509;20.1591;74.859;0.015672;16.2772;0.9628; 5.4
356;6650;1.508;19.9654;75.554;0.015604;16.3344;0.9553; 5.4
359;6700;1.511;21.1358;71.485;0.014939;15.9229;0.9382; 5.4
361;6750;1.512;21.3687;70.744;0.015240;15.8228;0.9631; 5.5
364;6800;1.511;21.2117;71.243;0.015544;15.8751;0.9791; 5.5
367;6850;1.512;21.0045;71.969;0.015017;15.9033;0.9443; 5.6
369;6900;1.512;20.7965;72.692;0.015447;15.9568;0.9680; 5.6
372;6950;1.511;20.5732;73.427;0.015434;15.9960;0.9649; 5.6
374;7000;1.510;20.4062;74.013;0.015464;16.0691;0.9624; 5.7
377;7050;1.510;20.2581;74.554;0.015291;16.1623;0.9461; 5.7
380;7100;1.510;20.1023;75.100;0.015597;16.2211;0.9615; 5.8
382;7150;1.512;21.2655;71.110;0.014906;15.8054;0.9431; 5.8
385;7200;1.513;21.4222;70.624;0.015199;15.7263;0.9665; 5.9
388;7250;1.513;21.2886;71.084;0.015508;15.7662;0.9836; 5.9
390;7300;1.512;21.1370;71.555;0.015309;15.7858;0.9698; 5.9
393;7350;1.513;21.0018;72.021;0.015102;15.8017;0.9557; 6.0
395;7400;1.513;20.8712;72.475;0.014943;15.8563;0.9424; 6.0
398;7450;1.512;20.7336;72.933;0.015140;15.9228;0.9509; 6.1
401;7500;1.512;20.5889;73.431;0.015197;15.9867;0.9506; 6.1
403;7550;1.512;20.4343;73.973;0.015265;16.0667;0.9501; 6.1
406;7600;1.512;20.2727;74.580;0.015476;16.0978;0.9613; 6.2
408;7650;1.511;20.0835;75.248;0.015154;16.1308;0.9395; 6.2
411;7700;1.513;21.3574;70.850;0.014983;15.6504;0.9574; 6.3
414;7750;1.514;21.5583;70.225;0.015428;15.4862;0.9962; 6.3
416;7800;1.514;21.3936;70.776;0.015146;15.5110;0.9765; 6.4
419;7850;1.514;21.2572;71.219;0.015237;15.5599;0.9792; 6.4
